NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,MEM_SEFF,TIME,GFLOPS
4,4,4,30,40,0,8,1,wheeler[001 006 009 013-023 043-050 055 057 063 067 070 096 100-102 142-150],30.66 GB (estimated maximum),30.2733,81.1716
8,8,8,30,40,0,8,1,wheeler[001 006 009 013-023 043-050 055 057 063 067 070 096 100-102 142-150],30.20 GB (estimated maximum),29.9971,82.1355
12,12,12,30,40,0,8,1,wheeler[001 006 009 013-023 043-050 055 057 063 067 070 096 100-102 142-150],29.29 GB (estimated maximum),30.3931,81.5999
16,16,16,30,40,0,8,1,wheeler[001 006 009 013-023 026 043-050 055 057 063 067 070 100-102 142-150],29.00 GB (estimated maximum),30.4065,80.9371
24,24,24,30,40,0,8,1,wheeler[001 006 009 013-023 026 043-050 055 057 063-064 067 100-102 142-150],31.92 GB (estimated maximum),26.7772,124.585
32,32,32,30,40,0,8,1,wheeler[001 006 009 013-023 026 033 043-050 055 057 063-064 100-102 142-150],36.56 GB (estimated maximum),31.6822,144.083
40,40,40,30,40,0,8,1,wheeler[001 006 009 013-023 026 033 043-050 055 057 063-064 100-102 142-150],44.40 GB (estimated maximum),33.5837,144.578
48,48,48,30,40,0,8,1,wheeler[001 006 009 013-023 026 033 043-050 055 057 063-064 100-102 142-150],57.40 GB (estimated maximum),29.8066,151.906
56,56,56,30,40,0,8,1,wheeler[001 006 009 013-023 026 033 043-050 055 057 063-064 100-102 142-150],73.53 GB (estimated maximum),28.2767,145.722
64,64,64,30,40,0,8,1,wheeler[001 006 009 013-023 026 033 043-050 055 057 063-064 100-102 142-150],95.06 GB (estimated maximum),41.0686,149.706
72,72,72,30,40,0,8,1,wheeler[001 006 009 013-023 026 033 043-050 055 057 063-064 100-102 142-150],126.14 GB (estimated maximum),44.5207,147.911
80,80,80,30,40,0,8,1,wheeler[006 009 013-023 025-026 033 043-050 055 057 063-064 100-102 142-150],157.70 GB (estimated maximum),39.7338,151.465
88,88,88,30,40,0,8,1,wheeler[009 013-023 025-026 033 043-050 055 057 063-064 069 100-102 142-150],199.89 GB (estimated maximum),52.66,152.181
96,96,96,30,40,0,8,1,wheeler[009 013-023 025-026 033 043-050 055 057 063-064 069 100-102 142-150],258.51 GB (estimated maximum),33.3708,155.886
4,4,4,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],35.93 GB (estimated maximum),30.5297,96.8525
8,8,8,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],35.76 GB (estimated maximum),30.9,95.7847
12,12,12,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],35.48 GB (estimated maximum),29.6053,96.2053
16,16,16,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],35.72 GB (estimated maximum),30.1221,97.4242
24,24,24,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],38.54 GB (estimated maximum),26.3112,142.301
32,32,32,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],43.59 GB (estimated maximum),31.6466,161.974
40,40,40,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],52.67 GB (estimated maximum),30.3218,166.146
48,48,48,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],67.59 GB (estimated maximum),31.2137,163.363
56,56,56,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],85.49 GB (estimated maximum),36.0732,160.787
64,64,64,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],109.65 GB (estimated maximum),30.4367,170.696
72,72,72,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],141.09 GB (estimated maximum),29.7626,165.913
80,80,80,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],180.26 GB (estimated maximum),41.2185,164.392
88,88,88,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 100-102 111 114 129-130 142-150],227.75 GB (estimated maximum),55.1323,163.681
96,96,96,30,45,0,8,1,wheeler[013-023 025-026 031 034 043-050 055 063-064 071 077 082 093 100-102 111 129-130 142-150],293.49 GB (estimated maximum),36.2118,161.885
4,4,4,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],37.06 GB (estimated maximum),30.888,101.488
8,8,8,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],37.56 GB (estimated maximum),30.7487,101.027
12,12,12,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],38.15 GB (estimated maximum),31.0851,100.902
16,16,16,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],38.05 GB (estimated maximum),30.9139,100.356
24,24,24,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],40.55 GB (estimated maximum),31.3455,151.676
32,32,32,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],46.69 GB (estimated maximum),32.5205,175.395
40,40,40,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],56.31 GB (estimated maximum),33.1667,183.036
48,48,48,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],71.02 GB (estimated maximum),31.0172,182.94
56,56,56,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],91.76 GB (estimated maximum),29.1522,176.841
64,64,64,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],119.19 GB (estimated maximum),39.9973,192.356
72,72,72,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],154.62 GB (estimated maximum),41.9981,195.793
80,80,80,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],197.26 GB (estimated maximum),39.999,188.071
88,88,88,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],250.67 GB (estimated maximum),54.9905,182.226
96,96,96,30,50,0,8,1,wheeler[008 013-023 025-027 031-032 034 043-050 055 063-064 066 071 073-074 077 082 093 100-102 129-130 142-150],315.77 GB (estimated maximum),38.3685,169.905
