NX,NY,NZ,TT,SLURM_NNODES,GPUS,TASKS_PER_NODE,OMP_NUM_THREADS,SLURM_JOB_NODELIST,TIME,GFLOPS
64,64,64,30,2,0,5,5,hopper[005-006],29.8325,12.4902
64,64,64,30,2,0,5,6,hopper[005-006],32.8404,11.46
64,64,64,30,2,0,6,3,hopper[005-006],30.6423,14.6828
64,64,64,30,2,0,6,4,hopper[005-006],30.2132,12.9121
64,64,64,30,2,0,6,1,hopper[005-006],31.7743,14.2142
64,64,64,30,2,0,6,2,hopper[005-006],32.7828,15.4724
64,64,64,30,2,0,6,5,hopper[005-006],33.7506,13.4345
64,64,64,30,2,0,7,1,hopper[005-006],31.0019,16.9667
64,64,64,30,2,0,7,2,hopper[005-006],32.328,18.274
64,64,64,30,2,0,7,3,hopper[005-006],31.485,14.494
64,64,64,30,2,0,7,4,hopper[005-006],31.097,14.7811
64,64,64,30,2,0,8,1,hopper[005-006],31.0811,17.0511
64,64,64,30,2,0,8,2,hopper[005-006],30.5268,17.2234
64,64,64,30,2,0,8,3,hopper[005-006],34.2123,15.4055
64,64,64,30,2,0,8,4,hopper[005-006],34.4912,15.3604
